scene,frame,variant,metric_profile,pq,sq,rq,miou,macc,mcov,mwcov,mprec,mrec,tp,fp,fn,num_pred_segments,num_gt_segments,num_pred_instances,num_gt_instances
f6659a3107,f6659a3107/DSC04376,raw,prpp_compatible,0.5777881785893817,0.8141560698304923,0.7096774193548387,0.5735503412285425,0.5905985475771747,0.6188954084015108,0.8802302626192482,0.7272727272727273,0.8,11,6,3,17,14,11,10
f6659a3107,f6659a3107/DSC04376,gt_label,prpp_compatible,0.6767855500225853,0.817782539610624,0.8275862068965517,0.677713421380016,0.7183686024922802,0.6188954084015108,0.8802302626192482,1.0,0.8,12,3,2,15,14,8,10
f6659a3107,f6659a3107/DSC04376,gt_shape,prpp_compatible,0.8841268407781548,0.9946426958754242,0.8888888888888888,0.6058325297663851,0.613868485953249,0.9,0.9686848976744624,1.0,0.9,12,1,2,13,14,9,10
f6659a3107,f6659a3107/DSC04380,raw,prpp_compatible,0.6219692539427029,0.8372663033844077,0.7428571428571429,0.5924511489778055,0.6089250231373241,0.7531885474218971,0.8102365285219778,0.7142857142857143,1.0,13,7,2,20,15,14,11
f6659a3107,f6659a3107/DSC04380,gt_label,prpp_compatible,0.7105448314375518,0.8374278370514003,0.8484848484848485,0.6707850071869393,0.6982134244186936,0.7531885474218971,0.8102365285219778,0.9090909090909091,1.0,14,4,1,18,15,11,11
f6659a3107,f6659a3107/DSC04380,gt_shape,prpp_compatible,0.9333333333333333,1.0,0.9333333333333333,0.625,0.625,1.0,1.0,1.0,1.0,14,1,1,15,15,11,11
f6659a3107,f6659a3107/DSC04385,raw,prpp_compatible,0.5298333795627396,0.7743718624378502,0.6842105263157895,0.5762833653230477,0.602477781773261,0.6590928000456712,0.6786342262385462,0.625,0.9166666666666666,13,9,3,22,16,16,12
f6659a3107,f6659a3107/DSC04385,gt_label,prpp_compatible,0.6080511600150248,0.7817800628764605,0.7777777777777778,0.6567394954971206,0.7034844257300319,0.6590928000456712,0.6786342262385462,0.7692307692307693,0.9166666666666666,14,6,2,20,16,13,12
f6659a3107,f6659a3107/DSC04385,gt_shape,prpp_compatible,0.875,1.0,0.875,0.6249908363742995,0.6249908363742995,0.9166666666666666,0.9999532054281703,1.0,0.9166666666666666,14,2,2,16,16,11,12
f6659a3107,f6659a3107/DSC04389,raw,prpp_compatible,0.5950380127017113,0.818177267464853,0.7272727272727273,0.5809532106524569,0.5977720241823699,0.7985711503584193,0.9061754501094209,0.6190476190476191,1.0,16,11,1,27,17,21,13
f6659a3107,f6659a3107/DSC04389,gt_label,prpp_compatible,0.6685391591268551,0.8258424906861151,0.8095238095238095,0.6815336290487345,0.7162981566455595,0.7985711503584193,0.9061754501094209,0.7222222222222222,1.0,17,8,0,25,17,18,13
f6659a3107,f6659a3107/DSC04389,gt_shape,prpp_compatible,0.9411764705882353,1.0,0.9411764705882353,0.625,0.625,1.0,1.0,1.0,1.0,16,1,1,17,17,13,13
f6659a3107,f6659a3107/DSC04393,raw,prpp_compatible,0.4640733116053071,0.7458321079371008,0.6222222222222222,0.4440152502395089,0.46130256336963255,0.7007257952136944,0.8355797720823775,0.5454545454545454,0.9230769230769231,14,14,3,28,17,22,13
f6659a3107,f6659a3107/DSC04393,gt_label,prpp_compatible,0.5384142152057251,0.7717270417948725,0.6976744186046512,0.5821989970788798,0.6306004579866524,0.7007257952136944,0.8355797720823775,0.6666666666666666,0.9230769230769231,15,11,2,26,17,18,13
f6659a3107,f6659a3107/DSC04393,gt_shape,prpp_compatible,0.8823529411764706,1.0,0.8823529411764706,0.5,0.5,1.0,1.0,1.0,1.0,15,2,2,17,17,13,13
f6659a3107,f6659a3107/DSC04398,raw,prpp_compatible,0.5479371546665406,0.8036411601775928,0.6818181818181818,0.6416556906149713,0.6703811815890557,0.7223150285987776,0.9137434111175928,0.65,0.9285714285714286,15,11,3,26,18,20,14
f6659a3107,f6659a3107/DSC04398,gt_label,prpp_compatible,0.6327609403503069,0.8304987342097779,0.7619047619047619,0.7676018425247222,0.8289954238641182,0.7223150285987776,0.9137434111175928,0.7222222222222222,0.9285714285714286,16,8,2,24,18,18,14
f6659a3107,f6659a3107/DSC04398,gt_shape,prpp_compatible,0.8888888888888888,1.0,0.8888888888888888,0.625,0.625,1.0,1.0,1.0,1.0,16,2,2,18,18,14,14
f6659a3107,f6659a3107/DSC04402,raw,prpp_compatible,0.5509213158510765,0.7747331004155764,0.7111111111111111,0.6111344235724279,0.6643987512024285,0.745406708771417,0.9275543013581835,0.6190476190476191,0.9285714285714286,16,11,2,27,18,21,14
f6659a3107,f6659a3107/DSC04402,gt_label,prpp_compatible,0.6111347729488624,0.8212123511500339,0.7441860465116279,0.7491728251567569,0.8226485556614147,0.745406708771417,0.9275543013581835,0.6842105263157895,0.9285714285714286,16,9,2,25,18,19,14
f6659a3107,f6659a3107/DSC04402,gt_shape,prpp_compatible,0.8888888888888888,1.0,0.8888888888888888,0.625,0.625,1.0,1.0,1.0,1.0,16,2,2,18,18,14,14
f6659a3107,f6659a3107/DSC04407,raw,prpp_compatible,0.5295153644942653,0.794273046741398,0.6666666666666666,0.45511169197506773,0.54140283553208,0.5613659266400919,0.6764413802574274,0.7058823529411765,0.75,14,8,6,22,20,17,16
f6659a3107,f6659a3107/DSC04407,gt_label,prpp_compatible,0.5926654704140814,0.8099761428992446,0.7317073170731707,0.5063111515704658,0.6343401908162278,0.6200208479952438,0.8268848957651611,0.7647058823529411,0.8125,15,6,5,21,20,17,16
f6659a3107,f6659a3107/DSC04407,gt_shape,prpp_compatible,0.8205128205128205,1.0,0.8205128205128205,0.5872770528879824,0.6868691670960041,0.8125,0.7773573491148125,0.9285714285714286,0.8125,16,3,4,19,20,14,16
f6659a3107,f6659a3107/DSC04411,raw,prpp_compatible,0.541027623262698,0.7608200952131691,0.7111111111111111,0.4621796204143621,0.6228846088902785,0.6497672706370665,0.6667504890889031,0.75,0.875,16,9,4,25,20,20,16
f6659a3107,f6659a3107/DSC04411,gt_label,prpp_compatible,0.6067876118244638,0.7852545564787179,0.7727272727272727,0.6078205192767021,0.6766485451719572,0.6497672706370665,0.6667504890889031,0.8333333333333334,0.875,17,7,3,24,20,18,16
f6659a3107,f6659a3107/DSC04411,gt_shape,prpp_compatible,0.9230769230769231,1.0,0.9230769230769231,0.626622352410996,0.75,0.9375,0.9689575068492763,1.0,0.9375,18,1,2,19,20,15,16
f6659a3107,f6659a3107/DSC04415,raw,prpp_compatible,0.44366119308755836,0.7246466153763453,0.6122448979591837,0.4491391437164439,0.6489032924451112,0.5711610059771173,0.5350005811634845,0.6956521739130435,0.8823529411764706,15,13,6,28,21,23,17
f6659a3107,f6659a3107/DSC04415,gt_label,prpp_compatible,0.4662414966403365,0.7304450114031938,0.6382978723404256,0.47094670909309716,0.6663780934187835,0.5711610059771173,0.5350005811634845,0.8421052631578947,0.8823529411764706,15,11,6,26,21,19,17
f6659a3107,f6659a3107/DSC04415,gt_shape,prpp_compatible,0.9047619047619048,1.0,0.9047619047619048,0.7031794368037758,0.741041829617169,0.9411764705882353,0.9559013565973248,0.9411764705882353,0.9411764705882353,19,2,2,21,21,17,17
f6659a3107,f6659a3107/DSC04420,raw,prpp_compatible,0.5223042597217877,0.802110113144174,0.6511627906976745,0.49826977128546707,0.728427672682656,0.5723894096640842,0.6606881561477002,0.6666666666666666,0.75,14,9,6,23,20,18,16
f6659a3107,f6659a3107/DSC04420,gt_label,prpp_compatible,0.5347966098481942,0.8021949147722912,0.6666666666666666,0.4769479681666844,0.6438846125939572,0.5592140555334022,0.6299637851600802,0.7333333333333333,0.6875,14,8,6,22,20,15,16
f6659a3107,f6659a3107/DSC04420,gt_shape,prpp_compatible,0.9,1.0,0.9,0.7687810958670416,0.819206769024593,0.875,0.9029961199008061,0.875,0.875,18,2,2,20,20,16,16
