scene,frame,mode,metric_profile,pq,sq,rq,miou,macc,mcov,mwcov,mprec,mrec,tp,fp,fn,num_pred_segments,num_gt_segments,num_pred_instances,num_gt_instances
1ada7a0617,1ada7a0617/DSC03552,per-view,prpp_compatible,0.5483887904074088,0.7711717365104187,0.7111111111111111,0.5751128285314361,0.6123115218218529,0.6435024901570547,0.8480827410872422,0.65,0.875,16,9,4,25,20,20,16
1ada7a0617,1ada7a0617/DSC03554,per-view,prpp_compatible,0.48996486699981984,0.7839437871997118,0.625,0.54239051553259,0.6481323510469436,0.6018920439517266,0.7828781130885504,0.5416666666666666,0.8,15,14,4,29,19,24,15
1ada7a0617,1ada7a0617/DSC03556,per-view,prpp_compatible,0.6406123561408448,0.8236444578953719,0.7777777777777778,0.6700704252901835,0.7024116630358744,0.6342913839501155,0.710344876982013,0.7142857142857143,0.8461538461538461,14,5,3,19,17,14,13
1ada7a0617,1ada7a0617/DSC03558,per-view,prpp_compatible,0.6751229767993421,0.8309205868299595,0.8125,0.6199698277619862,0.6397893307089096,0.58904549496863,0.8283001976364632,0.9,0.6923076923076923,13,2,4,15,17,10,13
1ada7a0617,1ada7a0617/DSC03559,per-view,prpp_compatible,0.5933670606375597,0.8052838680081168,0.7368421052631579,0.5903323211231889,0.6122624972455265,0.6536686133421733,0.8246421057398767,0.6875,0.7857142857142857,14,7,3,21,17,16,14
1ada7a0617,1ada7a0617/DSC03561,per-view,prpp_compatible,0.4652617735781787,0.852979918226661,0.5454545454545454,0.44039474189743927,0.5120590862516611,0.46239896193794305,0.6716004094364029,0.5833333333333334,0.5384615384615384,9,8,7,17,16,12,13
1ada7a0617,1ada7a0617/DSC03563,per-view,prpp_compatible,0.5412151872563358,0.8794746792915455,0.6153846153846154,0.5010582793850465,0.5257650201447983,0.4440716534987683,0.8326818118365692,0.75,0.5,8,3,7,11,15,8,12
1ada7a0617,1ada7a0617/DSC03565,per-view,prpp_compatible,0.490332464713486,0.7150681777071671,0.6857142857142857,0.45495415783071164,0.5408150284969152,0.4998201521866752,0.7910426723519405,0.6428571428571429,0.6923076923076923,12,6,5,18,17,14,13
1ada7a0617,1ada7a0617/DSC03567,per-view,prpp_compatible,0.5968323531890106,0.8034281677544374,0.7428571428571429,0.5878478802476024,0.6785136538442212,0.6224541106853169,0.666162593770815,0.7692307692307693,0.8461538461538461,13,5,4,18,17,13,13
1ada7a0617,1ada7a0617/DSC03568,per-view,prpp_compatible,0.5927231051416739,0.7978964876907149,0.7428571428571429,0.5945870271849119,0.6717639565405706,0.628338081602064,0.6249468523882126,0.7692307692307693,0.9230769230769231,13,5,4,18,17,13,13
