scene,frame,mode,metric_profile,pq,sq,rq,miou,macc,mcov,mwcov,mprec,mrec,tp,fp,fn,num_pred_segments,num_gt_segments,num_pred_instances,num_gt_instances
5748ce6f01,5748ce6f01/DSC00073,per-view,prpp_compatible,0.5591424841002068,0.8107566019453,0.6896551724137931,0.6432646276315962,0.739350101003833,0.5610185171098971,0.7010958135603659,0.6666666666666666,0.6666666666666666,10,5,4,15,14,12,12
5748ce6f01,5748ce6f01/DSC00078,per-view,prpp_compatible,0.5305926867370514,0.8224186644424296,0.6451612903225806,0.6174275758707738,0.7105378236789905,0.516467001492028,0.683513646593013,0.6153846153846154,0.6153846153846154,10,6,5,16,15,13,13
5748ce6f01,5748ce6f01/DSC00083,per-view,prpp_compatible,0.5434491067501506,0.8151736601252259,0.6666666666666666,0.5978794627014943,0.7006898808391238,0.5103301507269723,0.671610418824826,0.6666666666666666,0.6153846153846154,10,5,5,15,15,12,13
5748ce6f01,5748ce6f01/DSC00088,per-view,prpp_compatible,0.5208316194493654,0.7812474291740481,0.6666666666666666,0.5810588902969928,0.6827054743405456,0.5297344924151992,0.6599945884695388,0.6153846153846154,0.6666666666666666,10,6,4,16,14,13,12
5748ce6f01,5748ce6f01/DSC00093,per-view,prpp_compatible,0.5441580855992747,0.7915026699625813,0.6875,0.5700442461971832,0.7425825328012855,0.6494413593815578,0.7063635627280604,0.7142857142857143,0.8333333333333334,11,6,4,17,15,14,12
5748ce6f01,5748ce6f01/DSC00098,per-view,prpp_compatible,0.6028780148343821,0.811566558430899,0.7428571428571429,0.6736411516049847,0.8697409105053967,0.6990074021709343,0.7738296216677423,0.625,0.9166666666666666,13,7,2,20,15,16,12
5748ce6f01,5748ce6f01/DSC00103,per-view,prpp_compatible,0.5868177775110449,0.7824237033480599,0.75,0.6509478400042195,0.852037327855253,0.6383758973704308,0.6919072285614825,0.8461538461538461,0.9166666666666666,12,5,3,17,15,13,12
5748ce6f01,5748ce6f01/DSC00109,per-view,prpp_compatible,0.5963488315735642,0.840309717217295,0.7096774193548387,0.7573166180795657,0.9080420570435072,0.60071901743615,0.6743979238230438,0.75,0.9166666666666666,11,5,4,16,15,12,12
5748ce6f01,5748ce6f01/DSC00114,per-view,prpp_compatible,0.5859786635519937,0.8545522176799908,0.6857142857142857,0.7762701758175274,0.9029360604396317,0.6690152339039765,0.7574130553969629,0.625,0.9166666666666666,12,8,3,20,15,16,12
5748ce6f01,5748ce6f01/DSC00119,per-view,prpp_compatible,0.6524561636811438,0.842755878088144,0.7741935483870968,0.7430583670766702,0.8704892401337132,0.6638328148191915,0.7469423453119822,0.8333333333333334,0.9166666666666666,12,4,3,16,15,12,12
5748ce6f01,5748ce6f01/DSC00124,per-view,prpp_compatible,0.5760477649801401,0.8400696572627043,0.6857142857142857,0.7132123284705228,0.8699605988654575,0.6137314685204447,0.7233870317822341,0.7333333333333333,0.8461538461538461,12,7,4,19,16,15,13
5748ce6f01,5748ce6f01/DSC00129,per-view,prpp_compatible,0.5026582835552708,0.8225317367268068,0.6111111111111112,0.6191422408928123,0.8428608930809122,0.5851465759498278,0.6212653041414724,0.6875,0.8461538461538461,11,9,5,20,16,16,13
5748ce6f01,5748ce6f01/DSC00134,per-view,prpp_compatible,0.6052109496128347,0.8321650557176478,0.7272727272727273,0.6997768087416303,0.8901291875649209,0.5870560891665824,0.6853586904251779,0.7692307692307693,0.7692307692307693,12,5,4,17,16,13,13
5748ce6f01,5748ce6f01/DSC00139,per-view,prpp_compatible,0.6116608238883785,0.8410336328465204,0.7272727272727273,0.7296058314242044,0.8512691055126971,0.5771900616541987,0.6187286680060596,0.6923076923076923,0.6923076923076923,12,5,4,17,16,13,13
5748ce6f01,5748ce6f01/DSC00144,per-view,prpp_compatible,0.6290921194694878,0.8578528901856651,0.7333333333333333,0.7174338934804997,0.7851348903357849,0.5920284470897268,0.7043655919142914,0.75,0.6923076923076923,11,4,4,15,15,12,13
5748ce6f01,5748ce6f01/DSC00149,per-view,prpp_compatible,0.5952404989078541,0.8928607483617812,0.6666666666666666,0.6812703078232342,0.7899649147357511,0.6742228204364996,0.7751751874409086,0.6428571428571429,0.8181818181818182,10,7,3,17,13,14,11
5748ce6f01,5748ce6f01/DSC00154,per-view,prpp_compatible,0.6368411615421266,0.8915776261589772,0.7142857142857143,0.6704197545213715,0.7816759336760872,0.6722280779135962,0.7860462197627872,0.75,0.8181818181818182,10,5,3,15,13,12,11
5748ce6f01,5748ce6f01/DSC00159,per-view,prpp_compatible,0.6380590084781412,0.8613796614454907,0.7407407407407407,0.6246130682511966,0.7458889375348473,0.6500304584215706,0.7440195434781373,0.8181818181818182,0.8181818181818182,10,4,3,14,13,11,11
5748ce6f01,5748ce6f01/DSC00164,per-view,prpp_compatible,0.5253177006063755,0.8463451843102716,0.6206896551724138,0.6563140752439216,0.7713202889160344,0.5881559786925302,0.7417251735767662,0.6153846153846154,0.8181818181818182,9,7,4,16,13,13,11
5748ce6f01,5748ce6f01/DSC00169,per-view,prpp_compatible,0.5995208388863461,0.8659745450580555,0.6923076923076923,0.6977873559493938,0.7915547243381895,0.6405270408288438,0.7510315442874975,0.7272727272727273,0.8,9,5,3,14,12,11,10
5748ce6f01,5748ce6f01/DSC00174,per-view,prpp_compatible,0.5111967457466006,0.8763372784227438,0.5833333333333334,0.5639712667421681,0.6717823048126981,0.5237858463039544,0.7185223125257247,0.6666666666666666,0.6666666666666666,7,6,4,13,11,9,9
5748ce6f01,5748ce6f01/DSC00180,per-view,prpp_compatible,0.5780498243482315,0.8670747365223473,0.6666666666666666,0.5575933541635031,0.606438680953501,0.6323251639429311,0.7087312493668932,0.75,0.8571428571428571,7,5,2,12,9,8,7
5748ce6f01,5748ce6f01/DSC00185,per-view,prpp_compatible,0.5228033544859466,0.8364853671775145,0.625,0.37876909381652085,0.43237981370306894,0.43853537723973596,0.8687060819661208,0.6,0.5,5,3,3,8,8,5,6
5748ce6f01,5748ce6f01/DSC00190,per-view,prpp_compatible,0.7768476355427486,0.8878258691917127,0.875,0.5606301547532696,0.5956808622700599,0.8781341545892204,0.8454896621811779,0.8333333333333334,1.0,7,2,0,9,7,6,5
5748ce6f01,5748ce6f01/DSC00195,per-view,prpp_compatible,0.7723281817822938,0.8826607791797644,0.875,0.5620983412783489,0.5960385426066916,0.8696979193751707,0.8571980658603093,0.8333333333333334,1.0,7,2,0,9,7,6,5
5748ce6f01,5748ce6f01/DSC00200,per-view,prpp_compatible,0.7873653879892241,0.8436057728455972,0.9333333333333333,0.5216024615619158,0.5989116958629761,0.8060667237962011,0.8775849775841266,1.0,1.0,7,1,0,8,7,5,5
5748ce6f01,5748ce6f01/DSC00205,per-view,prpp_compatible,0.7176200051682038,0.8713957205613904,0.8235294117647058,0.5353119009292707,0.6038943391248871,0.8366617009780555,0.8912257323862876,0.8333333333333334,1.0,7,2,1,9,8,6,5
5748ce6f01,5748ce6f01/DSC00210,per-view,prpp_compatible,0.7557029589333384,0.8973972637333394,0.8421052631578947,0.6700248034831822,0.7252456544954876,0.9317142428179988,0.9501325911774452,0.7142857142857143,1.0,8,3,0,11,8,7,5
5748ce6f01,5748ce6f01/DSC00215,per-view,prpp_compatible,0.7723441550260681,0.9171586840934559,0.8421052631578947,0.6868949717900688,0.7242310110426358,0.9351352120845211,0.9535449919256371,0.7142857142857143,1.0,8,3,0,11,8,7,5
5748ce6f01,5748ce6f01/DSC00220,per-view,prpp_compatible,0.7231230869606259,0.9039038587007824,0.8,0.6713222642371114,0.7014707688279511,0.8921206690027448,0.8410403301269306,0.625,1.0,8,4,0,12,8,8,5
5748ce6f01,5748ce6f01/DSC00225,per-view,prpp_compatible,0.8252777899582945,0.9078055689541239,0.9090909090909091,0.8135579406542123,0.8541265741993758,0.8814644309960457,0.8400639854480139,0.875,1.0,10,2,0,12,10,8,7
